dept,alpha,beta,gamma,mse,mae,mape,additive
1,0.2,0.35,0.95,988127.3594880892,863.8879267229186,1.6162404377247526,True
2,0.3,0.4,0.7000000000000001,231168.06865897143,345.00239363127184,0.4696509397341172,True
3,0.8500000000000001,0.05,0.9000000000000001,1668811.1243118148,795.9527047965785,4.430767099047493,True
4,0.45,0.25,0.8500000000000001,420458.6758408041,479.48630031739776,1.1166146587651264,True
5,0.15,0.1,0.4,300000.84684041585,411.3587029523696,0.8506076184945456,True
6,0.05,0.15,0.35,1142278.1654662313,746.2632899014473,13.363225579523109,True
7,0.3,0.7000000000000001,0.95,1825745.611451271,904.5081744423696,2.1836958614799085,False
8,0.15,0.6500000000000001,0.25,332313.9970868473,448.56496419283394,1.1887095282594529,False
9,0.25,0.5,0.8,5067701.228016125,1551.4287599969412,4.478751667117934,False
10,0.25,0.35,0.6000000000000001,7772121.091069795,1509.9599178225026,3.8529297829852567,False
11,0.1,0.15,0.05,2437702.758878648,1081.5833483638107,4.696700452268749,True
12,0.2,0.15,0.6500000000000001,17123.27621885022,96.01005431078217,1.1965350812978226,False
13,0.2,0.2,0.9000000000000001,1527650.5569256083,708.013765779735,1.4633276100105093,True
14,0.05,0.1,0.05,5641147.849926775,1919.2760658125296,7.340947584856875,False
16,0.25,0.6000000000000001,0.5,51094.78542820199,153.7710034024824,2.486316356587099,True
17,0.15,0.5,0.55,43278.32263739617,184.90196415202627,1.0613930031189187,False
18,0.25,0.5,0.95,2685542.6359276203,1428.0754331017115,4.525016136948707,True
19,0.1,0.8500000000000001,0.2,143092.5142980576,297.2135165456164,8.020799603786106,False
20,0.1,0.05,0.8,407804.1591286599,361.927342211716,4.51922872852848,False
21,0.35,0.1,0.7500000000000001,9757.946571483506,64.04123121325301,0.8201426387169876,True
22,0.1,0.55,0.2,1074302.31345295,744.8428738250641,4.380636154312638,False
23,0.1,0.55,0.25,400465.1677509444,503.7455493684902,1.4830128057427692,False
24,0.05,0.95,0.2,450680.0195171945,565.5421052691936,4.278073335527241,False
25,0.7500000000000001,0.95,0.05,33258164.22007045,2933.6161898650457,10.59484852286834,True
26,0.2,0.35,0.05,99282.9999554208,196.98254115333293,1.3274935708571731,False
27,0.05,0.95,0.05,32262.23383249939,133.056049680594,3.316809294429854,False
28,0.1,0.6500000000000001,0.8500000000000001,166480.6904610729,306.23200879544385,22.683989372371794,False
29,0.1,0.6000000000000001,0.45,33174.65950245896,119.6361209452923,2.041286838993275,True
30,0.8,0.95,0.1,70965.06640093513,192.98974306904188,4.430253271548723,False
31,0.8500000000000001,0.95,0.05,1999698.91674293,956.4011019297528,16.87015852008608,True
32,0.05,0.6500000000000001,0.05,40342.30715293063,161.17594876709995,1.931856860285034,False
33,0.8,0.95,0.95,366873.2291649494,562.3073537536561,4.352320512524166,True
34,0.15,0.35,0.8,226950.44771834387,348.56281125508485,1.8143967158230176,True
35,0.05,0.45,0.4,13458.603160678562,99.96078714888893,3.4412483368008813,True
36,0.5,0.4,0.95,6914.848683613409,74.53960484205044,4.68625107483855,True
37,0.2,0.1,0.7000000000000001,26513.679414167134,99.95644254899798,3.0839387550936688,True
38,0.25,0.05,0.45,5225250.247049403,1224.6179112477585,1.383756899087827,False
40,0.05,0.7000000000000001,0.05,2308199.901359865,1217.9326632903903,1.5329824733069437,True
41,0.05,0.6000000000000001,0.5,24869.31081622114,114.432167695237,3.693526890274302,True
42,0.4,0.05,0.95,14598.352866683595,89.27681969859009,1.0690549515465886,False
44,0.1,0.7500000000000001,0.3,98194.10276549714,275.2188911220851,2.379059587551377,True
45,0.05,0.35,0.05,131.65313671984515,10.303064652219604,62.41809891849155,True
46,0.05,0.05,0.4,545069.0946910628,571.5600231568133,1.5068444765144136,True
48,0.05,0.55,0.25,1078857.1961515096,556.0302060473647,21.48086429610816,False
49,0.3,0.1,0.95,21262.684723573217,106.41227489491804,1.3214554058446368,False
50,0.1,0.4,0.1,24861.34913779921,109.9836975325843,8.39002231894638,False
51,0.05,0.1,0.05,275.97721773043105,12.550792361455832,72.34497064929595,False
52,0.05,0.5,0.05,103746.63884395405,244.4016466402152,5.1896135318684085,True
54,0.8500000000000001,0.05,0.9000000000000001,6.4914888612989605,2.253645374095504,7.775725959509043,False
55,0.15,0.2,0.6500000000000001,295387.8732651385,454.73572496380166,3.089798562826714,False
56,0.25,0.9000000000000001,0.35,117806.68232614288,189.97271036145708,5.975293282418309,True
58,0.1,0.7000000000000001,0.05,6666726.963883467,1887.3220860259144,16.08435367559948,True
59,0.1,0.55,0.95,17288.566844367153,96.08191820046794,23.691542243473656,False
60,0.15,0.05,0.9000000000000001,126.29048584687068,7.588988178430213,0.8816181604967592,True
67,0.3,0.7500000000000001,0.95,318285.10152244265,355.20819254597063,2.478966825638627,False
71,0.15,0.7500000000000001,0.25,84983.80322434372,199.97217926082223,2.470227343603139,True
72,0.05,0.55,0.2,10900451.837834587,2294.0487016325496,3.240567612585445,False
74,0.4,0.25,0.8500000000000001,777847.8672501066,528.7249399193279,1.9487178968779812,False
79,0.25,0.05,0.95,856470.1843997157,711.6393864914608,1.2790696575855112,True
80,0.45,0.05,0.7500000000000001,122733.51492908124,231.79908305967456,1.2074780484471448,True
81,0.05,0.05,0.25,31274.335535310274,129.5093581862875,0.3882885497105617,True
82,0.15,0.05,0.2,94515.57387375706,255.34774180994827,0.7968154032080778,True
83,0.15,0.4,0.8500000000000001,40121.63028860408,137.26648661904062,3.207198137547773,False
85,0.05,0.25,0.35,68733.832750907,159.86731523692094,3.984456878598504,True
87,0.6000000000000001,0.05,0.5,316440.959342346,402.4381871522219,2.000492074462838,True
90,0.05,0.4,0.2,795113.4731435949,820.226106676706,0.6319897498382382,True
91,0.25,0.7000000000000001,0.9000000000000001,3027923.811191947,987.9893338324582,1.1812828591691016,True
92,0.05,0.45,0.1,3037788.6756292563,1255.6792780503092,0.6811595165033009,True
93,0.2,0.3,0.95,2327377.5342420903,1180.165878534173,2.2780757750670726,False
94,0.2,0.1,0.05,601372.1219328025,606.9141751007228,0.7902715462915768,True
95,0.2,0.25,0.55,613509.7297386109,592.7888207557044,0.4294467980233775,False
96,0.1,0.35,0.2,367600.4533995685,402.562160488847,4.095860040197828,True
97,0.2,0.6000000000000001,0.4,24253.859030703257,111.84299626741904,0.3788230918036788,False
